"Pest","Kingdom","Order","Family","Genus","Species","Subspecies"
"Micrutalis sp.","Animalia","Hemiptera","Membracidae","Micrutalis","",""
"Mida sp.","Plantae","Santalales","Santalaceae","Mida","",""
"Mikania cordata (Burman F.) B. L. Robinson","Plantae","Asterales","Asteraceae","Mikania","cordata",""
"Mikania micrantha Kunth","Plantae","Asterales","Asteraceae","Mikania","micrantha",""
"Mikania sp.","Plantae","Asterales","Asteraceae","Mikania","",""
"Milacidae","Animalia","Stylommatophora","Milacidae","","",""
"Milax nigricans (Philippi)","Animalia","Stylommatophora","Milacidae","Milax","nigricans",""
"Milax sp.","Animalia","Stylommatophora","Milacidae","Milax","",""
"Milgithea melanoleuca (Hampson)","Animalia","Lepidoptera","Pyralidae","Milgithea","melanoleuca",""
"Milviscutulus sp.","Animalia","Hemiptera","Coccidae","Milviscutulus","",""
"Mimallonidae","Animalia","Lepidoptera","Mimallonidae","","",""
"Mimeoma sp.","Animalia","Coleoptera","Scarabaeidae","Mimeoma","",""
"Mimographus sp.","Animalia","Coleoptera","Curculionidae","Mimographus","",""
"Mimosa diplotricha C. Wright","Plantae","Fabales","Fabaceae","Mimosa","diplotricha",""
"Mimosa invisa Mart. ex Colla","Plantae","Fabales","Fabaceae","Mimosa","invisa",""
"Mimosa pigra L.","Plantae","Fabales","Fabaceae","Mimosa","pigra",""
"Mimosa sp.","Plantae","Fabales","Fabaceae","Mimosa","",""
"Mimosestes cinerifer (Fahraeus)","Animalia","Coleoptera","Chrysomelidae","Mimosestes","cinerifer",""
"Mimosestes humeralis (Gyllenhal)","Animalia","Coleoptera","Chrysomelidae","Mimosestes","humeralis",""
"Mimosestes insularis (Kingsolver & Johnson)","Animalia","Coleoptera","Chrysomelidae","Mimosestes","insularis",""
"Mimosestes sp.","Animalia","Coleoptera","Chrysomelidae","Mimosestes","",""
"Mimosestes viduatus (Sharp)","Animalia","Coleoptera","Chrysomelidae","Mimosestes","viduatus",""
"Minthea obsita (Wollaston)","Animalia","Coleoptera","Bostrichidae","Minthea","obsita",""
"Minutaleyrodes cherasensis Corbett","Animalia","Hemiptera","Aleyrodidae","Minutaleyrodes","cherasensis",""
"Minutaleyrodes kolliensis David","Animalia","Hemiptera","Aleyrodidae","Minutaleyrodes","kolliensis",""
"Minutaleyrodes minuta (Singh)","Animalia","Hemiptera","Aleyrodidae","Minutaleyrodes","minuta",""
"Minutaleyrodes sp.","Animalia","Hemiptera","Aleyrodidae","Minutaleyrodes","",""
"Minytus sp.","Animalia","Hemiptera","Miridae","Minytus","",""
"Miogryllus convolutus (Johansson)","Animalia","Orthoptera","Gryllidae","Miogryllus","convolutus",""
"Miogryllus sp.","Animalia","Orthoptera","Gryllidae","Miogryllus","",""
"Miogryllus verticalis Serville","Animalia","Orthoptera","Gryllidae","Miogryllus","verticalis",""
"Miridae","Animalia","Hemiptera","Miridae","","",""
"Mirinae","Animalia","Hemiptera","Miridae","","",""
"Misodendraceae","Plantae","Santalales","Misodendraceae","","",""
"Misophrice sp.","Animalia","Coleoptera","Curculionidae","Misophrice","",""
"Mitostylus gracilis Horn","Animalia","Coleoptera","Curculionidae","Mitostylus","gracilis",""
"Mitostylus sp.","Animalia","Coleoptera","Curculionidae","Mitostylus","",""
"Mitrapsylla deserata Caldwell","Animalia","Hemiptera","Psyllidae","Mitrapsylla","deserata",""
"Mitrapsylla sp.","Animalia","Hemiptera","Psyllidae","Mitrapsylla","",""
"Mitrastethus baridioides Redtenbacher","Animalia","Coleoptera","Curculionidae","Mitrastethus","baridioides",""
"Mitulaspis funtumiae (Newstead)","Animalia","Hemiptera","Diaspididae","Mitulaspis","funtumiae",""
"Mitulaspis malayana Hall & Williams","Animalia","Hemiptera","Diaspididae","Mitulaspis","malayana",""
"Mixonychus citraeus Flechtmann & Mesa","Animalia","Trombidiformes","Tetranychidae","Mixonychus","citraeus",""
"Mocis sp.","Animalia","Lepidoptera","Erebidae","Mocis","",""
"Moechotypa diphysis (Pascoe)","Animalia","Coleoptera","Cerambycidae","Moechotypa","diphysis",""
"Mogoplistidae","Animalia","Orthoptera","Mogoplistidae","","",""
"Mogoplistinae","Animalia","Orthoptera","Mogoplistidae","","",""
"Mollusca","Animalia","","","","",""
"Molorchus sp.","Animalia","Coleoptera","Cerambycidae","Molorchus","",""
"Molytinae","Animalia","Coleoptera","Curculionidae","","",""
"Momoria sp.","Animalia","Hemiptera","Cicadellidae","Momoria","",""
"Mompha sp.","Animalia","Lepidoptera","Momphidae","Mompha","",""
"Momphidae","Animalia","Lepidoptera","Momphidae","","",""
"Monacha cantiana (Montagu)","Animalia","Stylommatophora","Hygromiidae","Monacha","cantiana",""
"Monacha cartusiana (M�ller)","Animalia","Stylommatophora","Hygromiidae","Monacha","cartusiana",""
"Monacha cemenelea (Risso)","Animalia","Stylommatophora","Hygromiidae","Monacha","cemenelea",""
"Monacha cf. cartusiana (M�ller)","Animalia","Stylommatophora","Hygromiidae","Monacha","cf. cartusiana",""
"Monacha cf. syriaca (Ehrenberg)","Animalia","Stylommatophora","Hygromiidae","Monacha","cf. syriaca",""
"Monacha claustralis (Menke)","Animalia","Stylommatophora","Hygromiidae","Monacha","claustralis",""
"Monacha crenophila (Pfeiffer)","Animalia","Stylommatophora","Hygromiidae","Monacha","crenophila",""
"Monacha obstructa (Pfeiffer)","Animalia","Stylommatophora","Hygromiidae","Monacha","obstructa",""
"Monacha ocellata (Roth)","Animalia","Stylommatophora","Hygromiidae","Monacha","ocellata",""
"Monacha rizzae (Aradas)","Animalia","Stylommatophora","Hygromiidae","Monacha","rizzae",""
"Monacha sp.","Animalia","Stylommatophora","Hygromiidae","Monacha","",""
"Monacha syriaca (Ehrenberg)","Animalia","Stylommatophora","Hygromiidae","Monacha","syriaca",""
"Monachoides incarnatus (M�ller)","Animalia","Stylommatophora","Hygromiidae","Monachoides","incarnatus",""
"Monalocoris eminulus (Distant)","Animalia","Hemiptera","Miridae","Monalocoris","eminulus",""
"Monalocoris neotropicalis Carvalho & Gomes","Animalia","Hemiptera","Miridae","Monalocoris","neotropicalis",""
"Monalocoris sp.","Animalia","Hemiptera","Miridae","Monalocoris","",""
"Monarthrum sp.","Animalia","Coleoptera","Curculionidae","Monarthrum","",""
"Monellia sp.","Animalia","Hemiptera","Aphididae","Monellia","",""
"Monilia numeicola Harada, Sasaki & Sano","Fungi","Helotiales","Sclerotiniaceae","Monilia","numeicola",""
"Monilia polystroma G.C.M. Leeuwen","Fungi","Helotiales","Sclerotiniaceae","Monilia","polystroma",""
"Monilia sp.","Fungi","Helotiales","Sclerotiniaceae","Monilia","",""
"Monilinia sp.","Fungi","Helotiales","Sclerotiniaceae","Monilinia","",""
"Monochaetia sp.","Fungi","Xylariales","Amphisphaeriaceae","Monochaetia","",""
"Monochaetinula sp.","Fungi","Xylariales","Amphisphaeriaceae","Monochaetinula","",""
"Monochamus alternatus Hope","Animalia","Coleoptera","Cerambycidae","Monochamus","alternatus",""
"Monochamus galloprovincialis (Olivier)","Animalia","Coleoptera","Cerambycidae","Monochamus","galloprovincialis",""
"Monochamus sartor (Fabricius)","Animalia","Coleoptera","Cerambycidae","Monochamus","sartor",""
"Monochamus sp.","Animalia","Coleoptera","Cerambycidae","Monochamus","",""
"Monochamus sutor (Linnaeus)","Animalia","Coleoptera","Cerambycidae","Monochamus","sutor",""
"Monochamus urussovi Fischer Von Waldheim","Animalia","Coleoptera","Cerambycidae","Monochamus","urussovi",""
"Monochoria hastata (L.) Solms","Plantae","Commelinales","Pontederiaceae","Monochoria","hastata",""
"Monochoria sp.","Plantae","Commelinales","Pontederiaceae","Monochoria","",""
"Monochoria vaginalis (Burman f.) C. Presl ex Kunth","Plantae","Commelinales","Pontederiaceae","Monochoria","vaginalis",""
"Monodictys sp.","Fungi","Not Assigned","Not Assigned","Monodictys","",""
"Monographella maydis E. M�ll. & Samuels","Fungi","Xylariales","Xylariaceae","Monographella","maydis",""
"Monomacra sp.","Animalia","Coleoptera","Chrysomelidae","Monomacra","",""
"Mononychellus tanajoa (Bondar)","Animalia","Trombidiformes","Tetranychidae","Mononychellus","tanajoa",""
"Monophadnoides sp.","Animalia","Hymenoptera","Tenthredinidae","Monophadnoides","",""
"Monophlebidae","Animalia","Hemiptera","Monophlebidae","","",""
"Monophlebinae","Animalia","Hemiptera","Margarodidae","","",""
"Monosteira unicostata Mulsant & Rey","Animalia","Hemiptera","Tingidae","Monosteira","unicostata",""
"Monoxia sp.","Animalia","Coleoptera","Chrysomelidae","Monoxia","",""
"Monteithiella humeralis Walker","Animalia","Hemiptera","Pentatomidae","Monteithiella","humeralis",""
"Montezumina obtusangulata Nickle","Animalia","Orthoptera","Tettigoniidae","Montezumina","obtusangulata",""
"Moraea collina Thunb.","Plantae","Asparagales","Iridaceae","Moraea","collina",""
"Moraea flaccida (Sweet) Steud.","Plantae","Asparagales","Iridaceae","Moraea","flaccida",""
"Moraea miniata Andrews","Plantae","Asparagales","Iridaceae","Moraea","miniata",""
"Moraea pallida (Baker) Goldblatt","Plantae","Asparagales","Iridaceae","Moraea","pallida",""
"Moraea sp.","Plantae","Asparagales","Iridaceae","Moraea","",""
"Mordella sp.","Animalia","Coleoptera","Mordellidae","Mordella","",""
"Mordellidae","Animalia","Coleoptera","Mordellidae","","",""
"Mordellistena sp.","Animalia","Coleoptera","Mordellidae","Mordellistena","",""
"Morganella conspicua (Brain)","Animalia","Hemiptera","Diaspididae","Morganella","conspicua",""
"Morganella sp.","Animalia","Hemiptera","Diaspididae","Morganella","",""
"Morimus asper (Sulzer)","Animalia","Coleoptera","Cerambycidae","Morimus","asper",""
"Morimus funereus Mulsant","Animalia","Coleoptera","Cerambycidae","Morimus","funereus",""
"Morimus sp.","Animalia","Coleoptera","Cerambycidae","Morimus","",""
"Mormidea angustata St�l","Animalia","Hemiptera","Pentatomidae","Mormidea","angustata",""
"Mormidea collaris Dallas","Animalia","Hemiptera","Pentatomidae","Mormidea","collaris",""
"Mormidea discoidea Dallas","Animalia","Hemiptera","Pentatomidae","Mormidea","discoidea",""
"Mormidea notulata (Herrich-Schaeffer)","Animalia","Hemiptera","Pentatomidae","Mormidea","notulata",""
"Mormidea sp.","Animalia","Hemiptera","Pentatomidae","Mormidea","",""
"Mormidea ypsilon (Linnaeus)","Animalia","Hemiptera","Pentatomidae","Mormidea","ypsilon",""
"Morna florens (Walker)","Animalia","Hemiptera","Pentatomidae","Morna","florens",""
"Morpho sp.","Animalia","Lepidoptera","Nymphalidae","Morpho","",""
"Mozena sp.","Animalia","Hemiptera","Coreidae","Mozena","",""
"Musca vitripennis Meigen","Animalia","Diptera","Muscidae","Musca","vitripennis",""
"Muscidae","Animalia","Diptera","Muscidae","","",""
"Mussidia nigrivenella Ragonot","Animalia","Lepidoptera","Pyralidae","Mussidia","nigrivenella",""
"Mussidia sp.","Animalia","Lepidoptera","Pyralidae","Mussidia","",""
"Mycetaspis ailynaomi Dones & Evans","Animalia","Hemiptera","Diaspididae","Mycetaspis","ailynaomi",""
"Mycetaspis sp.","Animalia","Hemiptera","Diaspididae","Mycetaspis","",""
"Mycosphaerella caricae Syd. & P. Syd.","Fungi","Capnodiales","Mycosphaerellaceae","Mycosphaerella","caricae",""
"Mycosphaerella fijiensis M. Morelet","Fungi","Capnodiales","Mycosphaerellaceae","Mycosphaerella","fijiensis",""
"Mycosphaerella morindae Sivan. & R.G. Shivas","Fungi","Capnodiales","Mycosphaerellaceae","Mycosphaerella","morindae",""
"Mycosphaerella palmae Miles","Fungi","Capnodiales","Mycosphaerellaceae","Mycosphaerella","palmae",""
"Mycosphaerella pandani Tilak","Fungi","Capnodiales","Mycosphaerellaceae","Mycosphaerella","pandani",""
"Mycosphaerella sp.","Fungi","Capnodiales","Mycosphaerellaceae","Mycosphaerella","",""
"Mycosphaerella waimeana Crous, Joanne E. Taylor & M.E. Palm","Fungi","Capnodiales","Mycosphaerellaceae","Mycosphaerella","waimeana",""
"Mycterothrips sp.","Animalia","Thysanoptera","Thripidae","Mycterothrips","",""
"Myelois sp.","Animalia","Lepidoptera","Pyralidae","Myelois","",""
"Myiopardalis sp.","Animalia","Diptera","Tephritidae","Myiopardalis","",""
"Myllocerus sp.","Animalia","Coleoptera","Curculionidae","Myllocerus","",""
"Myllocerus undatus Marshall","Animalia","Coleoptera","Curculionidae","Myllocerus","undatus",""
"Myndus sp.","Animalia","Hemiptera","Cixiidae","Myndus","",""
"Myochrous melancholicus Jacoby","Animalia","Coleoptera","Chrysomelidae","Myochrous","melancholicus",""
"Myochrous sp.","Animalia","Coleoptera","Chrysomelidae","Myochrous","",""
"Myodocha giraffa St�l","Animalia","Hemiptera","Rhyparochromidae","Myodocha","giraffa",""
"Myodocha longicollis St�l","Animalia","Hemiptera","Rhyparochromidae","Myodocha","longicollis",""
"Myodocha sp.","Animalia","Hemiptera","Rhyparochromidae","Myodocha","",""
"Myodocha unispinopilosa Cervantes","Animalia","Hemiptera","Rhyparochromidae","Myodocha","unispinopilosa",""
"Myodocha unispinosa St�l","Animalia","Hemiptera","Rhyparochromidae","Myodocha","unispinosa",""
"Myossita sp.","Animalia","Coleoptera","Curculionidae","Myossita","",""
"Myrmicinae","Animalia","Hymenoptera","Formicidae","","",""
"Myrmicomimus variegatus (Costa)","Animalia","Hemiptera","Miridae","Myrmicomimus","variegatus",""
"Myrothecium sp.","Fungi","Hypocreales","Not Assigned","Myrothecium","",""
"Myrtaceae","Plantae","Myrtales","Myrtaceae","","",""
"Myrtaspis syzygii Takagi)","Animalia","Hemiptera","Diaspididae","Myrtaspis","syzygii",""
"Mythapion sp.","Animalia","Coleoptera","Apionidae","Mythapion","",""
"Mythapion trifolianum Kissinger","Animalia","Coleoptera","Apionidae","Mythapion","trifolianum",""
"Mythimna cunyada (Franclemont)","Animalia","Lepidoptera","Noctuidae","Mythimna","cunyada",""
"Mythimna separata (Walker)","Animalia","Lepidoptera","Noctuidae","Mythimna","separata",""
"Mythimna sequax Franclemont","Animalia","Lepidoptera","Noctuidae","Mythimna","sequax",""
"Mythimna sp.","Animalia","Lepidoptera","Noctuidae","Mythimna","",""
"Mythimna turca (Linnaeus)","Animalia","Lepidoptera","Noctuidae","Mythimna","turca",""
"Mythimnini","Animalia","Lepidoptera","Noctuidae","","",""
"Myzocallis sp.","Animalia","Hemiptera","Aphididae","Myzocallis","",""
"Myzus cymbalariae (Stroyan)","Animalia","Hemiptera","Aphididae","Myzus","cymbalariae",""
"Myzus mumecola (Matsumura)","Animalia","Hemiptera","Aphididae","Myzus","mumecola",""
"Myzus sp.","Animalia","Hemiptera","Aphididae","Myzus","",""
"Nacobbus aberrans (Thorne) Thorne & Allen","Animalia","Tylenchida","Pratylenchidae","Nacobbus","aberrans",""
"Namacus sp.","Animalia","Hemiptera","Coreidae","Namacus","",""
"Nanophyes sp.","Animalia","Coleoptera","Nanophyidae","Nanophyes","",""
"Nanophyidae","Animalia","Coleoptera","Nanophyidae","","",""
"Nasonovia sp.","Animalia","Hemiptera","Aphididae","Nasonovia","",""
"Nassella sp.","Plantae","Poales","Poaceae","Nassella","",""
"Nassella trichotoma (Nees) Hack.","Plantae","Poales","Poaceae","Nassella","trichotoma",""
"Nastonotus foreli Carl","Animalia","Orthoptera","Tettigoniidae","Nastonotus","foreli",""
"Nasutitermes corniger (Motschulsky)","Animalia","Isoptera","Termitidae","Nasutitermes","corniger",""
"Nasutitermes costalis (Holmgren)","Animalia","Isoptera","Termitidae","Nasutitermes","costalis",""
"Nasutitermes ephratae (Holmgren)","Animalia","Isoptera","Termitidae","Nasutitermes","ephratae",""
"Nasutitermes sp.","Animalia","Isoptera","Termitidae","Nasutitermes","",""
"Naupactini","Animalia","Coleoptera","Curculionidae","","",""
"Naupactus sp.","Animalia","Coleoptera","Curculionidae","Naupactus","",""
"Naupactus xanthographus (Germar)","Animalia","Coleoptera","Curculionidae","Naupactus","xanthographus",""
"Neacoryphus sp.","Animalia","Hemiptera","Lygaeidae","Neacoryphus","",""
"Neacoryphus verecundus (Distant)","Animalia","Hemiptera","Lygaeidae","Neacoryphus","verecundus",""
"Nealcidion sp.","Animalia","Coleoptera","Cerambycidae","Nealcidion","",""
"Nectria sp.","Fungi","Hypocreales","Nectriaceae","Nectria","",""
"Nedfaculta ericetella (H�bner)","Animalia","Lepidoptera","Gelechiidae","Nedfaculta","ericetella",""
"Nedyus quadrimaculatus Linnaeus","Animalia","Coleoptera","Curculionidae","Nedyus","quadrimaculatus",""
"Neella eucosma (St�l)","Animalia","Hemiptera","Miridae","Neella","eucosma",""
"Neella sp.","Animalia","Hemiptera","Miridae","Neella","",""
"Negosiana bifurcata (Delong)","Animalia","Hemiptera","Cicadellidae","Negosiana","bifurcata",""
"Negosiana sp.","Animalia","Hemiptera","Cicadellidae","Negosiana","",""
"Nemapogon gerasimovi Zagulajev","Animalia","Lepidoptera","Tineidae","Nemapogon","gerasimovi",""
"Nemapogon sp.","Animalia","Lepidoptera","Tineidae","Nemapogon","",""
"Nematini","Animalia","Hymenoptera","Tenthredinidae","","",""
"Nematocera","Animalia","Diptera","","","",""
"Nematoda","Animalia","","","","",""
"Nematus oligospilus Foerster","Animalia","Hymenoptera","Tenthredinidae","Nematus","oligospilus",""
"Nematus sp.","Animalia","Hymenoptera","Tenthredinidae","Nematus","",""
"Nemobiinae","Animalia","Orthoptera","Gryllidae","","",""
"Nemognatha sp.","Animalia","Coleoptera","Meloidae","Nemognatha","",""
"Nemoria sp.","Animalia","Lepidoptera","Geometridae","Nemoria","",""
"Neoadoxoplatys saileri Kormilev","Animalia","Hemiptera","Pentatomidae","Neoadoxoplatys","saileri",""
"Neochalamisus sp.","Animalia","Coleoptera","Chrysomelidae","Neochalamisus","",""
"Neochetina eichhorniae Warner","Animalia","Coleoptera","Erirhinidae","Neochetina","eichhorniae",""
"Neochetina sp.","Animalia","Coleoptera","Erirhinidae","Neochetina","",""
"Neochlamisus sp.","Animalia","Coleoptera","Chrysomelidae","Neochlamisus","",""
"Neoclytus pusillus Laporte & Gory","Animalia","Coleoptera","Cerambycidae","Neoclytus","pusillus",""
"Neoclytus sp.","Animalia","Coleoptera","Cerambycidae","Neoclytus","",""
"Neocoelidia sp.","Animalia","Hemiptera","Cicadellidae","Neocoelidia","",""
"Neocoelidiinae","Animalia","Hemiptera","Cicadellidae","","",""
"Neocompsa cylindricollis (Fabricius)","Animalia","Coleoptera","Cerambycidae","Neocompsa","cylindricollis",""
"Neocompsa sp.","Animalia","Coleoptera","Cerambycidae","Neocompsa","",""
"Neoconocephalus affinis (Beauvois)","Animalia","Orthoptera","Tettigoniidae","Neoconocephalus","affinis",""
"Neoconocephalus punctipes (Redtenbacher)","Animalia","Orthoptera","Tettigoniidae","Neoconocephalus","punctipes",""
"Neoconocephalus sp.","Animalia","Orthoptera","Tettigoniidae","Neoconocephalus","",""
"Neocurtilla hexadactyla (Perty)","Animalia","Orthoptera","Gryllotalpidae","Neocurtilla","hexadactyla",""
"Neocurtilla sp.","Animalia","Orthoptera","Gryllotalpidae","Neocurtilla","",""
"Neodiprion sp.","Animalia","Hymenoptera","Diprionidae","Neodiprion","",""
"Neofusicoccum andinum (Mohali, Slippers & M.j. Wingf.) Mohali, Slippers & M.j. Wingf.","Fungi","Botryosphaeriales","Botryosphaeriaceae","Neofusicoccum","andinum",""
"Neofusicoccum luteum (Pennycook & Samuels) Crous, Slippers & A.J.L. Phillips","Fungi","Botryosphaeriales","Botryosphaeriaceae","Neofusicoccum","luteum",""
"Neofusicoccum mangiferae (Syd. & P. Syd.) Crous, Slippers & A.J.L. Phillips","Fungi","Botryosphaeriales","Botryosphaeriaceae","Neofusicoccum","mangiferae",""
"Neofusicoccum protearum (Denman & Crous) Crous, Slippers & A.J.L. Phillips","Fungi","Botryosphaeriales","Botryosphaeriaceae","Neofusicoccum","protearum",""
"Neofusicoccum sp.","Fungi","Botryosphaeriales","Botryosphaeriaceae","Neofusicoccum","",""
"Neohebestola humeralis (Blanchard)","Animalia","Coleoptera","Cerambycidae","Neohebestola","humeralis",""
"Neoheliothrips sylvanus (Faure)","Animalia","Thysanoptera","Thripidae","Neoheliothrips","sylvanus",""
"Neohydatothrips gracilipes Hood","Animalia","Thysanoptera","Thripidae","Neohydatothrips","gracilipes",""
"Neohydatothrips samayunkur (Kudo)","Animalia","Thysanoptera","Thripidae","Neohydatothrips","samayunkur",""
"Neohydatothrips signifer (Priesner)","Animalia","Thysanoptera","Thripidae","Neohydatothrips","signifer",""
"Neohydatothrips sp.","Animalia","Thysanoptera","Thripidae","Neohydatothrips","",""
"Neohydatothrips variabilis Beach","Animalia","Thysanoptera","Thripidae","Neohydatothrips","variabilis",""
"Neohydronomus elegans O'Brien & Wibmer","Animalia","Coleoptera","Erirhinidae","Neohydronomus","elegans",""
"Neolasioptera sp.","Animalia","Diptera","Cecidomyiidae","Neolasioptera","",""
"Neolema sp.","Animalia","Coleoptera","Chrysomelidae","Neolema","",""
"Neoleonardia alata (Froggatt)","Animalia","Hemiptera","Diaspididae","Neoleonardia","alata",""
"Neoleucinodes elegantalis (Guen�e)","Animalia","Lepidoptera","Crambidae","Neoleucinodes","elegantalis",""
"Neoleucinodes sp.","Animalia","Lepidoptera","Crambidae","Neoleucinodes","",""
"Neolochmaea sp.","Animalia","Coleoptera","Chrysomelidae","Neolochmaea","",""
"Neomastix sp.","Animalia","Coleoptera","Curculionidae","Neomastix","",""
"Neomyzus sp.","Animalia","Hemiptera","Aphididae","Neomyzus","",""
"Neoneides sp.","Animalia","Hemiptera","Berytidae","Neoneides","",""
"Neonemobius sp.","Animalia","Orthoptera","Gryllidae","Neonemobius","",""
"Neoninus illustris Distant","Animalia","Hemiptera","Ninidae","Neoninus","illustris",""
"Neopamera hondurana (Bergroth)","Animalia","Hemiptera","Rhyparochromidae","Neopamera","hondurana",""
"Neopamera intermedius (Barber)","Animalia","Hemiptera","Rhyparochromidae","Neopamera","intermedius",""
"Neopamera sp.","Animalia","Hemiptera","Rhyparochromidae","Neopamera","",""
"Neopetissius slaterorum O'Donnell","Animalia","Hemiptera","Rhyparochromidae","Neopetissius","slaterorum",""
"Neophilaenus sp.","Animalia","Hemiptera","Aphrophoridae","Neophilaenus","",""
"Neoplatylecanium sp.","Animalia","Hemiptera","Coccidae","Neoplatylecanium","",""
"Neortholomus sp.","Animalia","Hemiptera","Lygaeidae","Neortholomus","",""
"Neoselenaspidus silvaticus Mamet","Animalia","Hemiptera","Aleyrodidae","Neoselenaspidus","silvaticus",""
"Neosimmondsia esakii Takahashi","Animalia","Hemiptera","Pseudococcidae","Neosimmondsia","esakii",""
"Neosuccinea chinensis (L. Pfeiffer)","Animalia","Stylommatophora","Succineidae","Neosuccinea","chinensis",""
"Neosuccinea sp.","Animalia","Stylommatophora","Succineidae","Neosuccinea","",""
"Neotarsonemoides occultus Kaliszewski","Animalia","Trombidiformes","Tarsonemidae","Neotarsonemoides","occultus",""
"Neotephritis sp.","Animalia","Diptera","Tephritidae","Neotephritis","",""
"Neoterius fairmairei Lesne","Animalia","Coleoptera","Bostrichidae","Neoterius","fairmairei",""
"Neoterius mystax (Blanchard)","Animalia","Coleoptera","Bostrichidae","Neoterius","mystax",""
"Neotermes chilensis (Blanchard)","Animalia","Isoptera","Kalotermitidae","Neotermes","chilensis",""
"Neotermes sp.","Animalia","Isoptera","Kalotermitidae","Neotermes","",""
"Neottiglossa sp.","Animalia","Hemiptera","Pentatomidae","Neottiglossa","",""
"Neovossia sp.","Fungi","Tilletiales","Tilletiaceae","Neovossia","",""
"Neoxabea sp.","Animalia","Orthoptera","Gryllidae","Neoxabea","",""
"Neozygina bimaculata (Baker)","Animalia","Hemiptera","Cicadellidae","Neozygina","bimaculata",""
"Neozygina sp.","Animalia","Hemiptera","Cicadellidae","Neozygina","",""
"Nephotettix cincticeps (Uhler)","Animalia","Hemiptera","Cicadellidae","Nephotettix","cincticeps",""
"Nephotettix sp.","Animalia","Hemiptera","Cicadellidae","Nephotettix","",""
"Nephotettix virescens (Distant)","Animalia","Hemiptera","Cicadellidae","Nephotettix","virescens",""
"Nephrotoma sp.","Animalia","Diptera","Tipulidae","Nephrotoma","",""
"Nertinus sp.","Animalia","Coleoptera","Curculionidae","Nertinus","",""
"Nesaecrepida sp.","Animalia","Coleoptera","Chrysomelidae","Nesaecrepida","",""
"Nesidiocoris sp.","Animalia","Hemiptera","Miridae","Nesidiocoris","",""
"Nesosydne sp.","Animalia","Hemiptera","Delphacidae","Nesosydne","",""
"Neurocolpus sp.","Animalia","Hemiptera","Miridae","Neurocolpus","",""
"Neuroctenus litigiosus (St�l)","Animalia","Hemiptera","Aradidae","Neuroctenus","litigiosus",""
"Neuroctenus longiventris Kormilev","Animalia","Hemiptera","Aradidae","Neuroctenus","longiventris",""
"Neuroctenus sp.","Animalia","Hemiptera","Aradidae","Neuroctenus","",""
"Neuroterus abdominalis Pujade-Villar & Wang","Animalia","Hymenoptera","Cynipidae","Neuroterus","abdominalis",""
"Neuroterus sculpturatus Pujade-Villar & Wang","Animalia","Hymenoptera","Cynipidae","Neuroterus","sculpturatus",""
"Neuroterus sp.","Animalia","Hymenoptera","Cynipidae","Neuroterus","",""
"Nezara sp.","Animalia","Hemiptera","Pentatomidae","Nezara","",""
"Nicentrus sp.","Animalia","Coleoptera","Curculionidae","Nicentrus","",""
"Nicentrus testaceipes (Champion)","Animalia","Coleoptera","Curculionidae","Nicentrus","testaceipes",""
"Niesthrea brevicauda Chopra","Animalia","Hemiptera","Rhopalidae","Niesthrea","brevicauda",""
"Niesthrea pictipes (St�l)","Animalia","Hemiptera","Rhopalidae","Niesthrea","pictipes",""
"Niesthrea sp.","Animalia","Hemiptera","Rhopalidae","Niesthrea","",""
"Nikkoaspis sikokiana Takagi","Animalia","Hemiptera","Diaspididae","Nikkoaspis","sikokiana",""
"Nilaparvata lugens (St�l)","Animalia","Hemiptera","Delphacidae","Nilaparvata","lugens",""
"Nilaparvata sp.","Animalia","Hemiptera","Delphacidae","Nilaparvata","",""
"Nionia sp.","Animalia","Hemiptera","Cicadellidae","Nionia","",""
"Nipaecoccus annonae Williams & Granara De Willink","Animalia","Hemiptera","Pseudococcidae","Nipaecoccus","annonae",""
"Nipaecoccus filicis Williams & Granara De Willink","Animalia","Hemiptera","Pseudococcidae","Nipaecoccus","filicis",""
"Nipaecoccus gilli Williams & Granara De Willink","Animalia","Hemiptera","Pseudococcidae","Nipaecoccus","gilli",""
"Nipaecoccus jonmartini Williams & Granara De Willink","Animalia","Hemiptera","Pseudococcidae","Nipaecoccus","jonmartini",""
"Nipaecoccus paranipae Beardsley","Animalia","Hemiptera","Pseudococcidae","Nipaecoccus","paranipae",""
"Nipaecoccus sp.","Animalia","Hemiptera","Pseudococcidae","Nipaecoccus","",""
"Nipaecoccus viridis (Newstead)","Animalia","Hemiptera","Pseudococcidae","Nipaecoccus","viridis",""
"Niphona sp.","Animalia","Coleoptera","Cerambycidae","Niphona","",""
"Nirovecus sp.","Animalia","Hemiptera","Coreidae","Nirovecus","",""
"Nisotra sp.","Animalia","Coleoptera","Chrysomelidae","Nisotra","",""
"Noctua sp.","Animalia","Lepidoptera","Noctuidae","Noctua","",""
"Noctuidae","Animalia","Lepidoptera","Noctuidae","","",""
"Noctuinae","Animalia","Lepidoptera","Noctuidae","","",""
"Noctuini","Animalia","Lepidoptera","Noctuidae","","",""
"Noctuoidea","Animalia","Lepidoptera","","","",""
"Nodonota sp.","Animalia","Coleoptera","Chrysomelidae","Nodonota","",""
"Nogodinidae","Animalia","Hemiptera","Nogodinidae","","",""
"Nolidae","Animalia","Lepidoptera","Nolidae","","",""
"Nomophila indistinctalis (Walker)","Animalia","Lepidoptera","Crambidae","Nomophila","indistinctalis",""
